# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.000000000000000E+007;1.013762593269348E+000;-5.550557374954224E-002;
2.495000000000000E+007;9.967775940895081E-001;-1.313721984624863E-001;
3.990000000000000E+007;9.606915712356567E-001;-1.751938164234161E-001;
5.485000000000000E+007;9.449368715286255E-001;-2.609421014785767E-001;
6.980000000000000E+007;9.408408999443054E-001;-3.180742263793945E-001;
8.475000000000000E+007;8.707267045974731E-001;-3.878606259822846E-001;
9.970000000000000E+007;8.554536104202271E-001;-4.394016563892365E-001;
1.146500000000000E+008;8.502491712570190E-001;-4.599468708038330E-001;
1.296000000000000E+008;8.004416823387146E-001;-5.171066522598267E-001;
1.445500000000000E+008;7.650208473205566E-001;-6.034811735153198E-001;
1.595000000000000E+008;6.548392772674561E-001;-6.620312929153442E-001;
1.744500000000000E+008;5.994729399681091E-001;-6.333468556404114E-001;
1.894000000000000E+008;6.167021989822388E-001;-7.143743038177490E-001;
2.043500000000000E+008;5.179414749145508E-001;-7.899770736694336E-001;
2.193000000000000E+008;4.212973713874817E-001;-8.222996592521668E-001;
2.342500000000000E+008;3.076618313789368E-001;-8.144449591636658E-001;
2.492000000000000E+008;2.593240141868591E-001;-8.196747899055481E-001;
2.641500000000000E+008;1.377749294042587E-001;-8.474783897399902E-001;
2.791000000000000E+008;6.761581636965275E-003;-8.050258159637451E-001;
2.940500000000000E+008;-6.943979114294052E-002;-7.275117635726929E-001;
3.090000000000000E+008;-1.867610365152359E-001;-6.691893935203552E-001;
3.239500000000000E+008;-2.936051785945892E-001;-5.269452929496765E-001;
3.389000000000000E+008;-3.267137110233307E-001;-3.712433874607086E-001;
3.538500000000000E+008;-3.212575614452362E-001;-1.706568002700806E-001;
3.688000000000000E+008;-1.754231601953507E-001;-1.181691884994507E-002;
3.837500000000000E+008;-1.130621228367090E-002;2.717940695583820E-002;
3.987000000000000E+008;1.127972602844238E-001;2.963594719767571E-002;
4.136500000000000E+008;2.106867730617523E-001;4.380967840552330E-002;
4.286000000000000E+008;3.414491415023804E-001;-2.926733531057835E-002;
4.435500000000000E+008;4.083639085292816E-001;-1.455141603946686E-001;
4.585000000000000E+008;4.183818101882935E-001;-2.492414116859436E-001;
4.734500000000000E+008;4.218624234199524E-001;-3.042170405387878E-001;
4.884000000000000E+008;4.225498735904694E-001;-3.737885653972626E-001;
5.033500000000000E+008;4.096268713474274E-001;-4.282262027263641E-001;
5.183000000000000E+008;3.771259784698486E-001;-4.904750585556030E-001;
5.332500000000000E+008;3.441839516162872E-001;-5.527725815773010E-001;
5.482000000000000E+008;2.889216840267181E-001;-5.695827603340149E-001;
5.631500000000000E+008;2.624869644641876E-001;-6.006072163581848E-001;
5.781000000000000E+008;2.295443862676621E-001;-6.294617056846619E-001;
5.930500000000000E+008;1.780091673135757E-001;-6.484916210174561E-001;
6.080000000000000E+008;1.294370442628861E-001;-6.641035676002502E-001;
6.229500000000000E+008;7.377489656209946E-002;-6.831121444702148E-001;
6.379000000000000E+008;1.985289342701435E-002;-6.861848235130310E-001;
6.528500000000000E+008;-8.287048898637295E-003;-6.933587193489075E-001;
6.678000000000000E+008;-5.825497955083847E-002;-6.876444220542908E-001;
