# Version 1.00
#
freq[Hz];re:Trc1_S11[U];im:Trc1_S11[U];
1.000000000000000E+007;9.138271212577820E-001;-8.116642385721207E-002;
2.495000000000000E+007;1.001693487167358E+000;-1.330142915248871E-001;
3.990000000000000E+007;9.719122648239136E-001;-1.746290475130081E-001;
5.485000000000000E+007;9.511690139770508E-001;-2.470459938049316E-001;
6.980000000000000E+007;9.462903738021851E-001;-3.112058043479919E-001;
8.475000000000000E+007;8.715751171112061E-001;-3.898863792419434E-001;
9.970000000000000E+007;8.518833518028259E-001;-4.451020359992981E-001;
1.146500000000000E+008;8.434289097785950E-001;-4.644126892089844E-001;
1.296000000000000E+008;7.980325222015381E-001;-5.164271593093872E-001;
1.445500000000000E+008;7.592290639877319E-001;-6.154767274856567E-001;
1.595000000000000E+008;6.564065814018250E-001;-6.712092757225037E-001;
1.744500000000000E+008;5.865963697433472E-001;-6.500847339630127E-001;
1.894000000000000E+008;6.060630679130554E-001;-7.133266925811768E-001;
2.043500000000000E+008;5.093605518341065E-001;-7.922621369361877E-001;
2.193000000000000E+008;4.064782261848450E-001;-8.274888396263123E-001;
2.342500000000000E+008;2.805042862892151E-001;-8.115841746330261E-001;
2.492000000000000E+008;2.438506335020065E-001;-8.121727108955383E-001;
2.641500000000000E+008;1.282759457826614E-001;-8.323328495025635E-001;
2.791000000000000E+008;1.551472931168973E-003;-7.994948625564575E-001;
2.940500000000000E+008;-1.140705719590187E-001;-7.313536405563355E-001;
3.090000000000000E+008;-2.248641550540924E-001;-6.272775530815125E-001;
3.239500000000000E+008;-2.918114066123962E-001;-4.556736946105957E-001;
3.389000000000000E+008;-2.978177070617676E-001;-3.294572830200195E-001;
3.538500000000000E+008;-2.861636579036713E-001;-1.630091071128845E-001;
3.688000000000000E+008;-1.502612978219986E-001;5.183083005249500E-003;
3.837500000000000E+008;3.798533976078033E-002;3.333291783928871E-002;
3.987000000000000E+008;1.692963540554047E-001;3.023160621523857E-002;
4.136500000000000E+008;2.615765035152435E-001;-9.132388513535261E-004;
4.286000000000000E+008;3.672986030578613E-001;-7.194409519433975E-002;
4.435500000000000E+008;4.139311611652374E-001;-1.980615407228470E-001;
4.585000000000000E+008;4.219616055488586E-001;-2.898821234703064E-001;
4.734500000000000E+008;4.039454162120819E-001;-3.407886922359467E-001;
4.884000000000000E+008;4.038501679897308E-001;-4.032737016677856E-001;
5.033500000000000E+008;3.919917345046997E-001;-4.538814723491669E-001;
5.183000000000000E+008;3.606171905994415E-001;-5.157160758972168E-001;
5.332500000000000E+008;3.232449889183044E-001;-5.825381278991699E-001;
5.482000000000000E+008;2.611839473247528E-001;-6.032490134239197E-001;
5.631500000000000E+008;2.188311964273453E-001;-6.196327805519104E-001;
5.781000000000000E+008;1.978444755077362E-001;-6.395462155342102E-001;
5.930500000000000E+008;1.471027433872223E-001;-6.607643961906433E-001;
6.080000000000000E+008;9.340517967939377E-002;-6.740164756774902E-001;
6.229500000000000E+008;4.263855889439583E-002;-6.879833936691284E-001;
6.379000000000000E+008;-5.992946680635214E-003;-6.838698983192444E-001;
6.528500000000000E+008;-3.708557784557343E-002;-6.916947960853577E-001;
6.678000000000000E+008;-8.246497809886932E-002;-6.839609146118164E-001;
6.827500000000000E+008;-1.273241341114044E-001;-6.641169190406799E-001;
6.977000000000000E+008;-1.546524018049240E-001;-6.528152227401733E-001;
7.126500000000000E+008;-1.971974372863770E-001;-6.507586836814880E-001;
7.276000000000000E+008;-2.363370805978775E-001;-6.365411877632141E-001;
7.425500000000000E+008;-2.660880982875824E-001;-6.145528554916382E-001;
7.575000000000000E+008;-2.934092283248901E-001;-6.042922735214233E-001;
7.724500000000000E+008;-3.247097432613373E-001;-5.745609998703003E-001;
7.874000000000000E+008;-3.576278686523438E-001;-5.467383861541748E-001;
8.023500000000000E+008;-3.849078416824341E-001;-5.206484198570252E-001;
8.173000000000000E+008;-4.100977778434753E-001;-4.869070351123810E-001;
8.322500000000000E+008;-4.274049103260040E-001;-4.768430888652802E-001;
8.472000000000000E+008;-4.543642997741699E-001;-4.543622732162476E-001;
8.621500000000000E+008;-4.860415160655975E-001;-4.129912555217743E-001;
8.771000000000000E+008;-5.083994865417481E-001;-3.816359341144562E-001;
8.920500000000000E+008;-5.239071249961853E-001;-3.412278592586517E-001;
9.070000000000000E+008;-5.421859622001648E-001;-3.162673115730286E-001;
9.219500000000000E+008;-5.594125390052795E-001;-2.793141007423401E-001;
9.369000000000000E+008;-5.635426044464111E-001;-2.165303975343704E-001;
9.518500000000000E+008;-5.522022247314453E-001;-1.753501147031784E-001;
9.668000000000000E+008;-5.394833683967590E-001;-1.100557148456574E-001;
9.817500000000000E+008;-5.382301807403565E-001;-7.416906207799912E-002;
9.967000000000000E+008;-5.232716798782349E-001;-2.256550081074238E-002;
1.011650000000000E+009;-4.911481440067291E-001;2.815647795796394E-002;
