# Version 1.00
#
freq[Hz];Trc1_S11[U];
1.000000000000000E+007;7.315032183645444E+001;
2.495000000000000E+007;2.291111189328352E+002;
3.990000000000000E+007;1.132626685264273E+002;
5.485000000000000E+007;2.574071539683116E+002;
6.980000000000000E+007;2.766915729173763E+002;
8.475000000000000E+007;4.585501884830465E+001;
9.970000000000000E+007;5.268166315232466E+001;
1.146500000000000E+008;6.037626388509886E+001;
1.296000000000000E+008;4.357270304862745E+001;
1.445500000000000E+008;8.564821910403806E+001;
1.595000000000000E+008;2.878795191950850E+001;
1.744500000000000E+008;1.800867174688415E+001;
1.894000000000000E+008;3.423519437362221E+001;
2.043500000000000E+008;3.474324398933367E+001;
2.193000000000000E+008;2.514585814685422E+001;
2.342500000000000E+008;1.285241004610699E+001;
2.492000000000000E+008;1.367588012878974E+001;
2.641500000000000E+008;1.279160053350783E+001;
2.791000000000000E+008;8.961917814254861E+000;
2.940500000000000E+008;6.704587318766415E+000;
3.090000000000000E+008;5.428424991412327E+000;
3.239500000000000E+008;3.812740782934756E+000;
3.389000000000000E+008;2.984918716969373E+000;
3.538500000000000E+008;2.140077174972782E+000;
3.688000000000000E+008;1.450774215098908E+000;
3.837500000000000E+008;1.058852015532093E+000;
3.987000000000000E+008;1.249220084240623E+000;
4.136500000000000E+008;1.515897123632549E+000;
4.286000000000000E+008;2.016208163074621E+000;
4.435500000000000E+008;2.468080645104372E+000;
4.585000000000000E+008;2.923016816759578E+000;
4.734500000000000E+008;3.162361302239177E+000;
4.884000000000000E+008;3.600714022662385E+000;
5.033500000000000E+008;3.951262271144218E+000;
5.183000000000000E+008;4.220859711368558E+000;
5.332500000000000E+008;4.755107870183069E+000;
5.482000000000000E+008;4.712163993925526E+000;
5.631500000000000E+008;4.820184741627148E+000;
5.781000000000000E+008;5.021972253497859E+000;
5.930500000000000E+008;5.036380031469567E+000;
6.080000000000000E+008;5.193303548801738E+000;
6.229500000000000E+008;5.334934797278845E+000;
6.379000000000000E+008;5.295826202087302E+000;
6.528500000000000E+008;5.597408805586920E+000;
6.678000000000000E+008;5.459691143193719E+000;
6.827500000000000E+008;5.281792885974693E+000;
6.977000000000000E+008;5.169176179095790E+000;
7.126500000000000E+008;5.303574018029222E+000;
7.276000000000000E+008;5.247868578355491E+000;
7.425500000000000E+008;5.146293480785889E+000;
7.575000000000000E+008;5.238102827002154E+000;
7.724500000000000E+008;4.934046445037456E+000;
7.874000000000000E+008;4.850831263900528E+000;
8.023500000000000E+008;4.695529474372943E+000;
8.173000000000000E+008;4.463352610040063E+000;
8.322500000000000E+008;4.603090334096156E+000;
8.472000000000000E+008;4.608723363735092E+000;
8.621500000000000E+008;4.581817951573687E+000;
8.771000000000000E+008;4.463729920935234E+000;
8.920500000000000E+008;4.306568082379014E+000;
9.070000000000000E+008;4.293683243328098E+000;
9.219500000000000E+008;4.268488043563870E+000;
9.369000000000000E+008;4.101475154372388E+000;
9.518500000000000E+008;3.862676594598534E+000;
9.668000000000000E+008;3.517439483368525E+000;
