# Version 1.00
#
freq[Hz];Trc1_S11[U];
1.000000000000000E+007;1.192094846950897E+004;
2.495000000000000E+007;1.423508040039574E+002;
3.990000000000000E+007;9.577112434197214E+001;
5.485000000000000E+007;2.214964062206778E+003;
6.980000000000000E+007;1.775407654360571E+002;
8.475000000000000E+007;4.970599815729930E+001;
9.970000000000000E+007;4.755191338300381E+001;
1.146500000000000E+008;5.568324786814165E+001;
1.296000000000000E+008;4.104137932727103E+001;
1.445500000000000E+008;8.109484269077036E+001;
1.595000000000000E+008;3.365530674421550E+001;
1.744500000000000E+008;1.495544238817690E+001;
1.894000000000000E+008;3.000720687889562E+001;
2.043500000000000E+008;3.433085082005639E+001;
2.193000000000000E+008;2.497144441803851E+001;
2.342500000000000E+008;1.316165624120744E+001;
2.492000000000000E+008;1.233059744960760E+001;
2.641500000000000E+008;1.178429002676767E+001;
2.791000000000000E+008;9.039323414567585E+000;
2.940500000000000E+008;6.689125042470677E+000;
3.090000000000000E+008;5.037290549133187E+000;
3.239500000000000E+008;3.305191811206652E+000;
3.389000000000000E+008;2.606267973384441E+000;
3.538500000000000E+008;2.013673746589434E+000;
3.688000000000000E+008;1.389726079662828E+000;
3.837500000000000E+008;1.132536927983178E+000;
3.987000000000000E+008;1.433244192577119E+000;
4.136500000000000E+008;1.718976640100545E+000;
4.286000000000000E+008;2.184606579777722E+000;
4.435500000000000E+008;2.681736255054181E+000;
4.585000000000000E+008;3.048615515023549E+000;
4.734500000000000E+008;3.243024055319959E+000;
4.884000000000000E+008;3.678629835520216E+000;
5.033500000000000E+008;4.042443393625421E+000;
5.183000000000000E+008;4.384846416923399E+000;
5.332500000000000E+008;4.959917170391687E+000;
5.482000000000000E+008;4.800839553128069E+000;
5.631500000000000E+008;4.857656241920818E+000;
5.781000000000000E+008;5.018135914363256E+000;
5.930500000000000E+008;5.244763661389551E+000;
6.080000000000000E+008;5.258649859877828E+000;
6.229500000000000E+008;5.419966920894699E+000;
6.379000000000000E+008;5.311570597414248E+000;
6.528500000000000E+008;5.496175848737573E+000;
6.678000000000000E+008;5.397745698817030E+000;
6.827500000000000E+008;5.173134362945659E+000;
6.977000000000000E+008;5.066832817026969E+000;
7.126500000000000E+008;5.232022412638210E+000;
7.276000000000000E+008;5.260236120828397E+000;
7.425500000000000E+008;5.057631162995360E+000;
7.575000000000000E+008;5.110183123492551E+000;
7.724500000000000E+008;4.893224289555502E+000;
7.874000000000000E+008;4.737922113611972E+000;
8.023500000000000E+008;4.654881715626051E+000;
8.173000000000000E+008;4.493726016207128E+000;
8.322500000000000E+008;4.577427373603683E+000;
8.472000000000000E+008;4.589299202891954E+000;
8.621500000000000E+008;4.530358611921677E+000;
8.771000000000000E+008;4.467795594295387E+000;
8.920500000000000E+008;4.322647137176548E+000;
9.070000000000000E+008;4.373932450539098E+000;
9.219500000000000E+008;4.363520322471495E+000;
9.369000000000000E+008;4.062190211634244E+000;
9.518500000000000E+008;3.764798879002912E+000;
9.668000000000000E+008;3.438261861696910E+000;
9.817500000000000E+008;3.352585264048912E+000;
9.967000000000000E+008;3.190438077947368E+000;
1.011650000000000E+009;2.940074141779554E+000;
1.026600000000000E+009;2.693951771199045E+000;
1.041550000000000E+009;2.401731375020859E+000;
1.056500000000000E+009;2.200664229104576E+000;
1.071450000000000E+009;2.030836057463694E+000;
1.086400000000000E+009;1.790835296767302E+000;
1.101350000000000E+009;1.603431406085159E+000;
1.116300000000000E+009;1.411605837077331E+000;
1.131250000000000E+009;1.195991921474829E+000;
1.146200000000000E+009;1.031979273720374E+000;
1.161150000000000E+009;1.140376352538691E+000;
1.176100000000000E+009;1.331030753764018E+000;
1.191050000000000E+009;1.631113595982450E+000;
1.206000000000000E+009;1.916009730188428E+000;
1.220950000000000E+009;2.203595009669243E+000;
1.235900000000000E+009;2.409268413941688E+000;
1.250850000000000E+009;2.592057012701039E+000;
1.265800000000000E+009;2.929501530747472E+000;
1.280750000000000E+009;3.210095485137623E+000;
1.295700000000000E+009;3.465023046458917E+000;
1.310650000000000E+009;3.546693498677669E+000;
1.325600000000000E+009;3.490226976560880E+000;
1.340550000000000E+009;3.558258028064971E+000;
1.355500000000000E+009;3.590289783413973E+000;
1.370450000000000E+009;3.687842912268333E+000;
1.385400000000000E+009;3.659720411740270E+000;
1.400350000000000E+009;3.408734677756148E+000;
1.415300000000000E+009;3.177068508706534E+000;
1.430250000000000E+009;2.998031476545588E+000;
1.445200000000000E+009;2.958309293450621E+000;
1.460150000000000E+009;2.893710339335241E+000;
1.475100000000000E+009;2.819869699640009E+000;
1.490050000000000E+009;2.654513770276752E+000;
1.505000000000000E+009;2.498060949369839E+000;
1.519950000000000E+009;2.456543720303988E+000;
1.534900000000000E+009;2.513409398761227E+000;
