# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+007;9.579741358757019E-001;-1.058318391442299E-001;
2.495000000000000E+007;9.847413301467896E-001;-1.220396459102631E-001;
3.990000000000000E+007;9.771522879600525E-001;-1.822597384452820E-001;
5.485000000000000E+007;9.610412716865540E-001;-2.584000229835510E-001;
6.980000000000000E+007;9.420812726020813E-001;-3.127473592758179E-001;
8.475000000000000E+007;8.774717450141907E-001;-3.761149048805237E-001;
9.970000000000000E+007;8.486548662185669E-001;-4.338226318359375E-001;
1.146500000000000E+008;8.504163026809692E-001;-4.659063220024109E-001;
1.296000000000000E+008;7.981082797050476E-001;-5.172079205513001E-001;
1.445500000000000E+008;7.653839588165283E-001;-6.011675000190735E-001;
1.595000000000000E+008;6.687799096107483E-001;-6.631776690483093E-001;
1.744500000000000E+008;5.986706018447876E-001;-6.366180777549744E-001;
1.894000000000000E+008;6.221338510513306E-001;-7.196728587150574E-001;
2.043500000000000E+008;5.227950215339661E-001;-7.888160943984985E-001;
2.193000000000000E+008;4.110573828220367E-001;-8.232932686805725E-001;
2.342500000000000E+008;3.253273367881775E-001;-8.108153939247131E-001;
2.492000000000000E+008;2.484151721000671E-001;-8.325329422950745E-001;
2.641500000000000E+008;1.311468482017517E-001;-8.474259972572327E-001;
2.791000000000000E+008;1.204789895564318E-002;-7.927133440971375E-001;
2.940500000000000E+008;-6.663886457681656E-002;-7.394522428512573E-001;
3.090000000000000E+008;-1.917114406824112E-001;-6.680696010589600E-001;
3.239500000000000E+008;-2.972654104232788E-001;-5.191749334335327E-001;
3.389000000000000E+008;-3.238971233367920E-001;-3.555312454700470E-001;
3.538500000000000E+008;-2.984083890914917E-001;-1.779447942972183E-001;
3.688000000000000E+008;-1.682665497064591E-001;-1.550058554857969E-002;
3.837500000000000E+008;-5.273926071822643E-003;-1.089237281121314E-003;
3.987000000000000E+008;9.034366905689240E-002;2.955056354403496E-002;
4.136500000000000E+008;1.984086930751801E-001;4.749050363898277E-002;
4.286000000000000E+008;3.413282930850983E-001;-2.257439494132996E-002;
4.435500000000000E+008;4.034875929355621E-001;-1.363964527845383E-001;
4.585000000000000E+008;4.259184002876282E-001;-2.389370799064636E-001;
4.734500000000000E+008;4.270677566528320E-001;-3.053981363773346E-001;
4.884000000000000E+008;4.243001043796539E-001;-3.732594549655914E-001;
