# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;2.073366839879535E-001;
2.495000000000000E+007;8.814450126398805E-002;
3.990000000000000E+007;-1.179260730658161E-001;
5.485000000000000E+007;-1.631197028506483E-001;
6.980000000000000E+007;-1.041100113807153E-001;
8.475000000000000E+007;-3.637762465663590E-001;
9.970000000000000E+007;-4.440056475668733E-001;
1.146500000000000E+008;-2.702618118409323E-001;
1.296000000000000E+008;-4.234883564686189E-001;
1.445500000000000E+008;-2.069346232229709E-001;
1.595000000000000E+008;-5.554737366026180E-001;
1.744500000000000E+008;-1.185084713690564E+000;
1.894000000000000E+008;-4.654516940640044E-001;
2.043500000000000E+008;-4.609583142684538E-001;
2.193000000000000E+008;-7.436255556380839E-001;
2.342500000000000E+008;-1.208744504848254E+000;
2.492000000000000E+008;-1.187532195128079E+000;
2.641500000000000E+008;-1.279644717906365E+000;
2.791000000000000E+008;-2.019947768733939E+000;
2.940500000000000E+008;-2.692831059984020E+000;
3.090000000000000E+008;-3.162342114759867E+000;
3.239500000000000E+008;-4.321431297603742E+000;
3.389000000000000E+008;-6.311764390951022E+000;
3.538500000000000E+008;-9.315330237760982E+000;
3.688000000000000E+008;-1.558274687215589E+001;
3.837500000000000E+008;-4.416611718765014E+001;
3.987000000000000E+008;-2.057823840061447E+001;
4.136500000000000E+008;-1.352411652431721E+001;
4.286000000000000E+008;-9.247748118392973E+000;
4.435500000000000E+008;-7.501271229252319E+000;
4.585000000000000E+008;-6.306711659800929E+000;
4.734500000000000E+008;-5.670552174516080E+000;
4.884000000000000E+008;-4.938818278245675E+000;
5.033500000000000E+008;-4.503069382897918E+000;
5.183000000000000E+008;-4.230319874355775E+000;
5.332500000000000E+008;-3.631395521132750E+000;
5.482000000000000E+008;-3.746412439338772E+000;
5.631500000000000E+008;-3.593812918175753E+000;
5.781000000000000E+008;-3.430168768326101E+000;
5.930500000000000E+008;-3.400053457158160E+000;
6.080000000000000E+008;-3.361967216467241E+000;
6.229500000000000E+008;-3.301863050719931E+000;
6.379000000000000E+008;-3.360383737577918E+000;
6.528500000000000E+008;-3.267490584404130E+000;
6.678000000000000E+008;-3.324948067950585E+000;
6.827500000000000E+008;-3.317365686263327E+000;
6.977000000000000E+008;-3.425383585538136E+000;
7.126500000000000E+008;-3.329239871233400E+000;
7.276000000000000E+008;-3.316480641936630E+000;
7.425500000000000E+008;-3.335858764304244E+000;
7.575000000000000E+008;-3.261511875842689E+000;
7.724500000000000E+008;-3.450477685012255E+000;
7.874000000000000E+008;-3.644163403045027E+000;
8.023500000000000E+008;-3.708033960360324E+000;
8.173000000000000E+008;-3.930467458598711E+000;
8.322500000000000E+008;-3.921633451929776E+000;
8.472000000000000E+008;-3.941972841896985E+000;
8.621500000000000E+008;-3.893241098231004E+000;
8.771000000000000E+008;-4.038929907613302E+000;
8.920500000000000E+008;-4.079075479894131E+000;
9.070000000000000E+008;-4.023220819154624E+000;
9.219500000000000E+008;-4.117770658395967E+000;
9.369000000000000E+008;-4.244327192039848E+000;
9.518500000000000E+008;-4.536191524125739E+000;
9.668000000000000E+008;-5.045404548819533E+000;
9.817500000000000E+008;-5.213149729742320E+000;
9.967000000000000E+008;-5.639805256106863E+000;
1.011650000000000E+009;-6.146525065167348E+000;
1.026600000000000E+009;-6.610419359076738E+000;
1.041550000000000E+009;-7.313192807408814E+000;
1.056500000000000E+009;-8.003840921935094E+000;
1.071450000000000E+009;-8.903520167109399E+000;
1.086400000000000E+009;-1.026329122120579E+001;
1.101350000000000E+009;-1.174350118462998E+001;
1.116300000000000E+009;-1.347512516903047E+001;
1.131250000000000E+009;-1.691913667002079E+001;
1.146200000000000E+009;-2.198687846878496E+001;
1.161150000000000E+009;-2.645310080262515E+001;
1.176100000000000E+009;-2.020918417822658E+001;
1.191050000000000E+009;-1.481161560648684E+001;
1.206000000000000E+009;-1.186147028075276E+001;
1.220950000000000E+009;-1.011711408541061E+001;
1.235900000000000E+009;-9.043986493894689E+000;
1.250850000000000E+009;-8.255793678164135E+000;
1.265800000000000E+009;-7.146482288588818E+000;
1.280750000000000E+009;-6.300709240920264E+000;
1.295700000000000E+009;-5.737668627067881E+000;
1.310650000000000E+009;-5.376526131747277E+000;
1.325600000000000E+009;-5.502905825962722E+000;
1.340550000000000E+009;-5.369698689902108E+000;
1.355500000000000E+009;-5.170812662385492E+000;
1.370450000000000E+009;-4.972329691826626E+000;
1.385400000000000E+009;-4.906844752956449E+000;
1.400350000000000E+009;-5.221232216334924E+000;
1.415300000000000E+009;-5.561549952650696E+000;
1.430250000000000E+009;-6.052658383850392E+000;
1.445200000000000E+009;-6.130607274295498E+000;
1.460150000000000E+009;-6.351681098987123E+000;
1.475100000000000E+009;-6.616137821567134E+000;
1.490050000000000E+009;-7.113725198955315E+000;
1.505000000000000E+009;-7.798413158875865E+000;
1.519950000000000E+009;-8.082957864499962E+000;
1.534900000000000E+009;-7.833793689385882E+000;
1.549850000000000E+009;-7.467806371397054E+000;
1.564800000000000E+009;-7.479924702339929E+000;
1.579750000000000E+009;-7.982312277695328E+000;
1.594700000000000E+009;-8.294687450373640E+000;
1.609650000000000E+009;-8.383048934301929E+000;
1.624600000000000E+009;-7.891710969470984E+000;
1.639550000000000E+009;-7.272197884139184E+000;
1.654500000000000E+009;-6.658302953010464E+000;
