# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;
1.000000000000000E+007;1.030980944633484E+000;-1.937868632376194E-002;
2.495000000000000E+007;9.999107122421265E-001;-1.271254122257233E-001;
3.990000000000000E+007;9.780794978141785E-001;-1.768905520439148E-001;
5.485000000000000E+007;9.606594443321228E-001;-2.544839680194855E-001;
6.980000000000000E+007;9.464138746261597E-001;-3.074695467948914E-001;
8.475000000000000E+007;8.690900206565857E-001;-3.919974267482758E-001;
9.970000000000000E+007;8.544661402702332E-001;-4.446189403533936E-001;
1.146500000000000E+008;8.437499403953552E-001;-4.617718160152435E-001;
1.296000000000000E+008;8.000125885009766E-001;-5.201040506362915E-001;
1.445500000000000E+008;7.576958537101746E-001;-6.163222789764404E-001;
1.595000000000000E+008;6.575981378555298E-001;-6.695387959480286E-001;
1.744500000000000E+008;5.868178606033325E-001;-6.507578492164612E-001;
1.894000000000000E+008;6.060619354248047E-001;-7.105848193168640E-001;
2.043500000000000E+008;5.083370804786682E-001;-7.939019799232483E-001;
2.193000000000000E+008;4.047331511974335E-001;-8.293602466583252E-001;
2.342500000000000E+008;2.798215150833130E-001;-8.118655085563660E-001;
2.492000000000000E+008;2.442249655723572E-001;-8.152378797531128E-001;
2.641500000000000E+008;1.258666813373566E-001;-8.346269726753235E-001;
2.791000000000000E+008;2.848936477676034E-003;-8.021855950355530E-001;
2.940500000000000E+008;-1.172752901911736E-001;-7.308403253555298E-001;
3.090000000000000E+008;-2.281438261270523E-001;-6.222745776176453E-001;
3.239500000000000E+008;-2.874119877815247E-001;-4.520209133625031E-001;
3.389000000000000E+008;-2.955479025840759E-001;-3.411161899566650E-001;
3.538500000000000E+008;-2.974776327610016E-001;-1.644172668457031E-001;
3.688000000000000E+008;-1.579031199216843E-001;1.756881922483444E-002;
3.837500000000000E+008;4.476075246930122E-002;4.149156436324120E-002;
3.987000000000000E+008;1.784322112798691E-001;2.167701721191406E-002;
4.136500000000000E+008;2.641827166080475E-001;-9.684267453849316E-003;
4.286000000000000E+008;3.644260466098785E-001;-7.761975377798080E-002;
