# Version 1.00
#
freq[Hz];Trc1_S11[dB];
1.000000000000000E+007;-3.121466911975022E-001;
2.495000000000000E+007;4.828408586816660E-002;
3.990000000000000E+007;-7.910212719431577E-003;
5.485000000000000E+007;-1.525406099256390E-001;
6.980000000000000E+007;-9.407853296990591E-002;
8.475000000000000E+007;-4.000991423398594E-001;
9.970000000000000E+007;-3.650208209313843E-001;
1.146500000000000E+008;-3.278372111264712E-001;
1.296000000000000E+008;-3.848376298031939E-001;
1.445500000000000E+008;-1.995097407615867E-001;
1.595000000000000E+008;-5.417917440592727E-001;
1.744500000000000E+008;-1.135734063892954E+000;
1.894000000000000E+008;-5.551696734846118E-001;
2.043500000000000E+008;-5.021084706353363E-001;
2.193000000000000E+008;-6.889540765556288E-001;
2.342500000000000E+008;-1.321675556379577E+000;
2.492000000000000E+008;-1.425120793089686E+000;
2.641500000000000E+008;-1.454420314545143E+000;
2.791000000000000E+008;-1.915357050456453E+000;
2.940500000000000E+008;-2.614684841833449E+000;
3.090000000000000E+008;-3.547729928983460E+000;
3.239500000000000E+008;-5.431531195052845E+000;
3.389000000000000E+008;-6.784416102881954E+000;
3.538500000000000E+008;-9.370531631706850E+000;
3.688000000000000E+008;-1.639781639735737E+001;
3.837500000000000E+008;-2.394633174073590E+001;
3.987000000000000E+008;-1.515337612168653E+001;
4.136500000000000E+008;-1.169862143776327E+001;
4.286000000000000E+008;-8.621772555227306E+000;
4.435500000000000E+008;-6.947618596115185E+000;
4.585000000000000E+008;-5.971226704164412E+000;
4.734500000000000E+008;-5.450082244803465E+000;
4.884000000000000E+008;-4.794935938206874E+000;
5.033500000000000E+008;-4.369728627075020E+000;
5.183000000000000E+008;-4.058324275635160E+000;
5.332500000000000E+008;-3.583961025821712E+000;
5.482000000000000E+008;-3.716370456719162E+000;
5.631500000000000E+008;-3.622307139118795E+000;
5.781000000000000E+008;-3.469268834785314E+000;
5.930500000000000E+008;-3.309228943479437E+000;
6.080000000000000E+008;-3.318309717875393E+000;
6.229500000000000E+008;-3.261475449940514E+000;
6.379000000000000E+008;-3.368520038620682E+000;
6.528500000000000E+008;-3.269368040919877E+000;
6.678000000000000E+008;-3.261406009621604E+000;
6.827500000000000E+008;-3.340814881007751E+000;
6.977000000000000E+008;-3.409448086034927E+000;
7.126500000000000E+008;-3.325907183385668E+000;
7.276000000000000E+008;-3.379778265182849E+000;
7.425500000000000E+008;-3.531222989044660E+000;
7.575000000000000E+008;-3.486765973982806E+000;
7.724500000000000E+008;-3.650368143697260E+000;
7.874000000000000E+008;-3.714324016725333E+000;
8.023500000000000E+008;-3.744869341658721E+000;
8.173000000000000E+008;-3.874810592609503E+000;
8.322500000000000E+008;-3.844047316584116E+000;
8.472000000000000E+008;-3.877510308434432E+000;
8.621500000000000E+008;-3.957602756552837E+000;
8.771000000000000E+008;-4.000116467204173E+000;
8.920500000000000E+008;-4.126543235879352E+000;
9.070000000000000E+008;-4.008948206282468E+000;
9.219500000000000E+008;-4.038879454785133E+000;
9.369000000000000E+008;-4.362317586541574E+000;
9.518500000000000E+008;-4.714256157063005E+000;
9.668000000000000E+008;-5.209019985652875E+000;
9.817500000000000E+008;-5.347092989369727E+000;
9.967000000000000E+008;-5.673338802872275E+000;
1.011650000000000E+009;-6.193534005429654E+000;
1.026600000000000E+009;-6.846490878851381E+000;
1.041550000000000E+009;-7.699289915673766E+000;
1.056500000000000E+009;-8.449581956144861E+000;
1.071450000000000E+009;-9.397401465187356E+000;
1.086400000000000E+009;-1.094153761355256E+001;
1.101350000000000E+009;-1.270945642401385E+001;
1.116300000000000E+009;-1.529576093421373E+001;
1.131250000000000E+009;-2.103460733734711E+001;
1.146200000000000E+009;-3.497034010929637E+001;
1.161150000000000E+009;-2.358585446670411E+001;
1.176100000000000E+009;-1.686633907865921E+001;
1.191050000000000E+009;-1.240638591990059E+001;
1.206000000000000E+009;-1.012162944229086E+001;
1.220950000000000E+009;-8.499119883997205E+000;
1.235900000000000E+009;-7.669002877161665E+000;
1.250850000000000E+009;-7.084520552005352E+000;
1.265800000000000E+009;-6.181836912153308E+000;
1.280750000000000E+009;-5.616764037568453E+000;
1.295700000000000E+009;-5.172192647283700E+000;
1.310650000000000E+009;-5.046659555167738E+000;
1.325600000000000E+009;-5.115330680236664E+000;
1.340550000000000E+009;-5.028809577571248E+000;
